Year,Manufacturer,Car Line,% US/Canada,Primary Country,Primary %,Secondary Country,Secondary %,Engine Source,Transmission Source,Assembly Country,Raw
2020,Audi,A3,0,Germany,50,Hungary,26,Germany,Hungary,Germany,"['Audi', 'Audi', 'A3', 'PC', '0%', '50%G', '26%H', 'G', '', 'H', '', 'G (AWD)', '', 2020]"
2020,Audi,A3,0,Germany,47,Hungary,30,Germany,Hungary,Germany,"['Audi', 'Audi', 'A3', 'PC', '0%', '47%G', '30%H', 'G', '', 'H', '', 'G (FWD)', '', 2020]"
2020,Audi,RS 3,0,Germany,45,Hungary,37,Germany,Hungary,Germany,"['Audi', 'Audi', 'RS 3', 'PC', '0%', '45%G', '37%H', 'G', '', 'H', '', 'G', '', 2020]"
2020,Audi,A4,1,Germany,52,,0,Germany,Hungary,Germany,"['Audi', 'Audi', 'A4', 'PC', '1%', '52%G', '', 'G', '', 'H', '', 'G(AWD)', '', 2020]"
2020,Audi,A4,1,Germany,52,Hungary,17,Germany,Hungary,Germany,"['Audi', 'Audi', 'A4', 'PC', '1%', '52%G', '17%H', 'G', '', 'H', '', 'G(FWD)', '', 2020]"
2020,Audi,S4,1,Germany,50,Hungary,22,Germany,Hungary,Germany,"['Audi', 'Audi', 'S4', 'PC', '1%', '50%G', '22%H', 'G', '', 'H', '', 'G', '', 2020]"
2020,Audi,allroad,1,Germany,49,,0,Germany,Hungary,Germany,"['Audi', 'Audi', 'allroad', 'MPV', '1%', '49%G', '', 'G', '', 'H', '', 'G', '', 2020]"
2020,Audi,A5 Cabriolet,1,Germany,52,,0,Germany,Hungary,Germany,"['Audi', 'Audi', 'A5 Cabriolet', 'PC', '1%', '52%G', '', 'G', '', 'H', '', 'G', '', 2020]"
2020,Audi,S5 Cabriolet,1,Germany,43,Hungary,26,Germany,Hungary,Hungary,"['Audi', 'Audi', 'S5 Cabriolet', 'PC', '1%', '43%G', '26%H', 'G', '', 'H', '', 'H', '', 2020]"
2020,Audi,A5 Coupe,1,Germany,51,Hungary,16,Germany,Hungary,Germany,"['Audi', 'Audi', 'A5 Coupe', 'PC', '1%', '51%G', '16%H', 'G', '', 'H', '', 'G', '', 2020]"
2020,Audi,S5 Coupe,1,Germany,39,Hungary,31,Germany,Hungary,Hungary,"['Audi', 'Audi', 'S5 Coupe', 'PC', '1%', '39%G', '31%H', 'G', '', 'H', '', 'H', '', 2020]"
2020,Audi,A5 Sportback,1,Germany,49,Hungary,15,Germany,Hungary,Germany,"['Audi', 'Audi', 'A5 Sportback', 'PC', '1%', '49%G', '15%H', 'G', '', 'H', '', 'G', '', 2020]"
2020,Audi,S5 Sportback,1,Germany,39,Hungary,31,Germany,Hungary,Hungary,"['Audi', 'Audi', 'S5 Sportback', 'PC', '1%', '39%G', '31%H', 'G', '', 'H', '', 'H', '', 2020]"
2020,Audi,A6,1,Germany,51,Hungary,15,Germany,Hungary,Germany,"['Audi', 'Audi', 'A6', 'PC', '1%', '51%G', '15%H', 'G', '', 'H', '', 'G', '', 2020]"
2020,Audi,S6,0,Germany,52,Hungary,24,Germany,Hungary,Germany,"['Audi', 'Audi', 'S6', 'PC', '0%', '52%G', '24%H', 'G', '', 'H', '', 'G', '', 2020]"
2020,Audi,A6 allroad,1,Germany,47,Hungary,19,Germany,Hungary,Germany,"['Audi', 'Audi', 'A6 allroad', 'PC', '1%', '47%G', '19%H', 'G', '', 'H', '', 'G', '', 2020]"
2020,Audi,A7,1,Germany,44,Hungary,22,Germany,Hungary,Germany,"['Audi', 'Audi', 'A7', 'PC', '1%', '44%G', '22%H', 'G', '', 'H', '', 'G', '', 2020]"
2020,Audi,S7,0,Germany,50,Hungary,24,Germany,Hungary,Germany,"['Audi', 'Audi', 'S7', 'PC', '0%', '50%G', '24%H', 'G', '', 'H', '', 'G', '', 2020]"
2020,Audi,A8,1,Germany,68,,0,Germany,Germany,Germany,"['Audi', 'Audi', 'A8', 'PC', '1%', '68%G', '', 'G', '', 'G', '', 'G', '', 2020]"
2020,Audi,A8L,1,Germany,46,Hungary,22,Germany,Hungary,Hungary,"['Audi', 'Audi', 'A8L', 'PC', '1%', '46%G', '22%H', 'G', '', 'H', '', 'H', '', 2020]"
